	Vector time	gfs.168.110.total_high_cloud.comb
497	07.09.2022 17:00:00	5,229683
498	07.09.2022 18:00:00	0,046661
499	07.09.2022 19:00:00	0,092599
500	07.09.2022 20:00:00	0,032855
501	07.09.2022 21:00:00	3,37977
502	07.09.2022 22:00:00	5
503	07.09.2022 23:00:00	4,916935
504	08.09.2022 00:00:00	4,873698
505	08.09.2022 01:00:00	0,675694
506	08.09.2022 02:00:00	14,900567
507	08.09.2022 03:00:00	28,303945
508	08.09.2022 04:00:00	19,201585
509	08.09.2022 05:00:00	5
510	08.09.2022 06:00:00	4,934614
511	08.09.2022 07:00:00	8,419504
512	08.09.2022 08:00:00	13,561409
513	08.09.2022 09:00:00	5
514	08.09.2022 10:00:00	6,855353
515	08.09.2022 11:00:00	5,043509
516	08.09.2022 12:00:00	-0,117216
517	08.09.2022 13:00:00	3,08169
518	08.09.2022 14:00:00	4,88743
519	08.09.2022 15:00:00	11,162059
520	08.09.2022 16:00:00	6,772452
521	08.09.2022 17:00:00	9,436725
522	08.09.2022 18:00:00	32,316694
523	08.09.2022 19:00:00	37,706063
524	08.09.2022 20:00:00	75,51091
525	08.09.2022 21:00:00	100
526	08.09.2022 23:00:00	100,016708
527	09.09.2022 00:00:00	100
528	09.09.2022 11:00:00	99,96658
529	09.09.2022 12:00:00	100,030109
530	09.09.2022 13:00:00	104,853442
531	09.09.2022 14:00:00	40,985694
532	09.09.2022 15:00:00	46,524454
533	09.09.2022 16:00:00	27,308649
534	09.09.2022 17:00:00	61,544242
535	09.09.2022 18:00:00	63,708338
536	09.09.2022 19:00:00	61,49802
537	09.09.2022 20:00:00	105,37784
538	09.09.2022 21:00:00	95,828827
539	09.09.2022 22:00:00	42,25449
540	09.09.2022 23:00:00	5,013775
541	10.09.2022 00:00:00	3,629708
542	10.09.2022 01:00:00	0
543	10.09.2022 02:00:00	5,577103
544	10.09.2022 03:00:00	0
545	10.09.2022 04:00:00	-0,002073
546	10.09.2022 05:00:00	60,293157
547	10.09.2022 06:00:00	100
548	10.09.2022 07:00:00	91,776176
549	10.09.2022 08:00:00	100
550	10.09.2022 13:00:00	97,810732
551	10.09.2022 14:00:00	48,459521
552	10.09.2022 15:00:00	54,28467
553	10.09.2022 16:00:00	86,273362
554	10.09.2022 17:00:00	5,211315
555	10.09.2022 18:00:00	1,80921
556	10.09.2022 19:00:00	3,663364
557	10.09.2022 20:00:00	-0,026367
558	10.09.2022 21:00:00	0,031163
559	10.09.2022 22:00:00	16,600778
560	10.09.2022 23:00:00	3,19287
561	11.09.2022 00:00:00	-0,005236
562	11.09.2022 01:00:00	0
563	11.09.2022 02:00:00	0,306202
564	11.09.2022 03:00:00	0,174268
565	11.09.2022 04:00:00	3,607224
566	11.09.2022 05:00:00	31,031182
567	11.09.2022 06:00:00	30,460039
568	11.09.2022 07:00:00	47,024137
569	11.09.2022 08:00:00	22,056671
570	11.09.2022 09:00:00	98,679813
