	Vector time	sun.ele.GFS_168
345	18.08.2022 14:00:00	49,3089963
346	18.08.2022 14:15:00	47,7370876
347	18.08.2022 14:30:00	46,0104554
348	18.08.2022 14:45:00	44,1488342
349	18.08.2022 15:00:00	42,1704784
350	18.08.2022 15:15:00	40,0919945
351	18.08.2022 15:30:00	37,9283268
352	18.08.2022 15:45:00	35,6928413
353	18.08.2022 16:00:00	33,3974651
354	18.08.2022 16:15:00	31,0528515
355	18.08.2022 16:30:00	28,6685519
356	18.08.2022 16:45:00	26,2531825
357	18.08.2022 17:00:00	23,8145795
358	18.08.2022 17:15:00	21,3599409
359	18.08.2022 17:30:00	18,8959543
360	18.08.2022 17:45:00	16,4289111
361	18.08.2022 18:00:00	13,964808
362	18.08.2022 18:15:00	11,5094389
363	18.08.2022 18:30:00	9,0684771
364	18.08.2022 18:45:00	6,6475498
365	18.08.2022 19:00:00	4,2523062
366	18.08.2022 19:15:00	1,8884795
367	18.08.2022 19:30:00	-0,4380556
368	18.08.2022 19:45:00	-2,7212314
369	18.08.2022 20:00:00	-4,9547402
370	18.08.2022 20:15:00	-7,1319947
371	18.08.2022 20:30:00	-9,2460941
372	18.08.2022 20:45:00	-11,2898007
373	18.08.2022 21:00:00	-13,2555275
374	18.08.2022 21:15:00	-15,1353404
375	18.08.2022 21:30:00	-16,9209778
376	18.08.2022 21:45:00	-18,6038927
377	18.08.2022 22:00:00	-20,1753193
378	18.08.2022 22:15:00	-21,6263681
379	18.08.2022 22:30:00	-22,9481525
380	18.08.2022 22:45:00	-24,1319456
381	18.08.2022 23:00:00	-25,1693664
382	18.08.2022 23:15:00	-26,0525902
383	18.08.2022 23:30:00	-26,774572
384	18.08.2022 23:45:00	-27,3292734
385	19.08.2022 00:00:00	-27,7118748
386	19.08.2022 00:15:00	-27,9189576
387	19.08.2022 00:30:00	-27,9486413
388	19.08.2022 00:45:00	-27,8006602
389	19.08.2022 01:00:00	-27,4763754
390	19.08.2022 01:15:00	-26,9787181
391	19.08.2022 01:30:00	-26,3120714
392	19.08.2022 01:45:00	-25,4821021
393	19.08.2022 02:00:00	-24,4955556
394	19.08.2022 02:15:00	-23,3600329
395	19.08.2022 02:30:00	-22,0837638
396	19.08.2022 02:45:00	-20,6753917
397	19.08.2022 03:00:00	-19,1437786
398	19.08.2022 03:15:00	-17,497838
399	19.08.2022 03:30:00	-15,7463988
400	19.08.2022 03:45:00	-13,8980997
401	19.08.2022 04:00:00	-11,9613138
402	19.08.2022 04:15:00	-9,9440992
403	19.08.2022 04:30:00	-7,8541723
404	19.08.2022 04:45:00	-5,6989004
405	19.08.2022 05:00:00	-3,4853098
406	19.08.2022 05:15:00	-1,2201066
407	19.08.2022 05:30:00	1,0902931
408	19.08.2022 05:45:00	3,4397249
409	19.08.2022 06:00:00	5,8222306
410	19.08.2022 06:15:00	8,2320083
411	19.08.2022 06:30:00	10,6633564
412	19.08.2022 06:45:00	13,1106128
