	Vector time	gfs.168.107.total_cloud.comb
388	31.08.2022 15:00:00	95,035743
389	31.08.2022 16:00:00	100,340317
390	31.08.2022 17:00:00	97,20319
391	31.08.2022 18:00:00	93,336656
392	31.08.2022 19:00:00	94,599832
393	31.08.2022 20:00:00	101,741494
394	31.08.2022 21:00:00	105,425248
395	31.08.2022 22:00:00	105,570076
396	31.08.2022 23:00:00	100,0134
397	01.09.2022 00:00:00	100
398	01.09.2022 09:00:00	100,000452
399	01.09.2022 10:00:00	100
400	01.09.2022 16:00:00	99,996498
401	01.09.2022 17:00:00	101,263057
402	01.09.2022 18:00:00	101,049267
403	01.09.2022 19:00:00	95,971645
404	01.09.2022 20:00:00	84,808046
405	01.09.2022 21:00:00	75,475066
406	01.09.2022 22:00:00	66,091078
407	01.09.2022 23:00:00	74,01264
408	02.09.2022 00:00:00	86,175121
409	02.09.2022 01:00:00	93,141514
410	02.09.2022 02:00:00	93,646437
411	02.09.2022 03:00:00	100
412	03.09.2022 00:00:00	99,99979
413	03.09.2022 01:00:00	100
414	03.09.2022 10:00:00	99,142728
415	03.09.2022 11:00:00	100
416	03.09.2022 12:00:00	99,840924
417	03.09.2022 13:00:00	100
418	03.09.2022 20:00:00	99,999027
419	03.09.2022 21:00:00	99,999468
420	03.09.2022 22:00:00	98,322432
421	03.09.2022 23:00:00	95,769434
422	04.09.2022 00:00:00	91,629927
423	04.09.2022 01:00:00	95,063024
424	04.09.2022 02:00:00	97,119826
425	04.09.2022 03:00:00	100,072178
426	04.09.2022 04:00:00	99,72998
427	04.09.2022 05:00:00	97,537581
428	04.09.2022 06:00:00	99,754061
429	04.09.2022 07:00:00	99,941848
430	04.09.2022 08:00:00	100,005991
431	04.09.2022 09:00:00	100,020892
432	04.09.2022 10:00:00	98,909367
433	04.09.2022 11:00:00	99,489724
434	04.09.2022 12:00:00	71,554139
435	04.09.2022 13:00:00	38,0749
436	04.09.2022 14:00:00	63,096384
437	04.09.2022 15:00:00	28,285716
438	04.09.2022 16:00:00	31,993561
439	04.09.2022 17:00:00	29,631342
440	04.09.2022 18:00:00	3,643964
441	04.09.2022 19:00:00	0,160623
442	04.09.2022 20:00:00	0,032299
443	04.09.2022 21:00:00	3,247702
444	04.09.2022 22:00:00	21,258561
445	04.09.2022 23:00:00	99,354066
446	05.09.2022 00:00:00	100
447	05.09.2022 01:00:00	99,842758
448	05.09.2022 02:00:00	54,70625
449	05.09.2022 03:00:00	54,237426
450	05.09.2022 04:00:00	78,555541
451	05.09.2022 05:00:00	85,919688
452	05.09.2022 06:00:00	98,293164
453	05.09.2022 07:00:00	100,078719
454	05.09.2022 08:00:00	99,407626
455	05.09.2022 09:00:00	96,931637
456	05.09.2022 10:00:00	90,848161
457	05.09.2022 11:00:00	59,054484
458	05.09.2022 12:00:00	6,352725
459	05.09.2022 13:00:00	4,917498
460	05.09.2022 14:00:00	7,757976
461	05.09.2022 15:00:00	20,400229
462	05.09.2022 16:00:00	14,295719
463	05.09.2022 17:00:00	2,633753
464	05.09.2022 18:00:00	-0,354065
465	05.09.2022 19:00:00	0,211525
466	05.09.2022 20:00:00	3,442477
467	05.09.2022 21:00:00	4,92834
468	05.09.2022 22:00:00	5
469	05.09.2022 23:00:00	2,449208
470	06.09.2022 00:00:00	12,23921
471	06.09.2022 01:00:00	5
472	06.09.2022 03:00:00	4,985996
473	06.09.2022 04:00:00	0,827699
474	06.09.2022 05:00:00	61,201333
475	06.09.2022 06:00:00	11,20338
476	06.09.2022 07:00:00	9,658384
477	06.09.2022 08:00:00	4,886409
478	06.09.2022 09:00:00	14,182581
479	06.09.2022 10:00:00	14,505648
480	06.09.2022 11:00:00	5,193238
481	06.09.2022 12:00:00	2,494033
482	06.09.2022 13:00:00	29,397041
483	06.09.2022 14:00:00	6,008879
484	06.09.2022 15:00:00	5,03581
485	06.09.2022 16:00:00	107,678641
486	06.09.2022 17:00:00	100,225102
487	06.09.2022 18:00:00	100
488	06.09.2022 21:00:00	94,609424
489	06.09.2022 22:00:00	99,703305
490	06.09.2022 23:00:00	83,408967
491	07.09.2022 00:00:00	60,942017
492	07.09.2022 01:00:00	27,617788
493	07.09.2022 02:00:00	82,517988
494	07.09.2022 03:00:00	70,144925
495	07.09.2022 04:00:00	103,965807
496	07.09.2022 05:00:00	105,701727
497	07.09.2022 06:00:00	48,105482
498	07.09.2022 07:00:00	96,009212
499	07.09.2022 08:00:00	103,987034
500	07.09.2022 09:00:00	63,115502
501	07.09.2022 10:00:00	48,103185
502	07.09.2022 11:00:00	21,187559
503	07.09.2022 12:00:00	10,572189
504	07.09.2022 13:00:00	16,877697
505	07.09.2022 14:00:00	22,702571
506	07.09.2022 15:00:00	2,37989
507	07.09.2022 16:00:00	9,99312
508	07.09.2022 17:00:00	26,607041
509	07.09.2022 18:00:00	-0,170106
510	07.09.2022 19:00:00	0,879724
511	07.09.2022 20:00:00	7,888598
512	07.09.2022 21:00:00	5,902906
513	07.09.2022 22:00:00	5
514	07.09.2022 23:00:00	4,929335
515	08.09.2022 00:00:00	15,333371
516	08.09.2022 01:00:00	30,369815
517	08.09.2022 02:00:00	53,148041
518	08.09.2022 03:00:00	60,676044
519	08.09.2022 04:00:00	97,5476
520	08.09.2022 05:00:00	101,205527
521	08.09.2022 06:00:00	89,052596
522	08.09.2022 07:00:00	83,792464
523	08.09.2022 08:00:00	25,590069
524	08.09.2022 09:00:00	16,910659
525	08.09.2022 10:00:00	7,213568
526	08.09.2022 11:00:00	4,989619
527	08.09.2022 12:00:00	2,680449
528	08.09.2022 13:00:00	4,56631
529	08.09.2022 14:00:00	18,251172
530	08.09.2022 15:00:00	34,218056
531	08.09.2022 16:00:00	45,259723
532	08.09.2022 17:00:00	69,728854
533	08.09.2022 18:00:00	59,940702
534	08.09.2022 19:00:00	37,430887
535	08.09.2022 20:00:00	75,626156
536	08.09.2022 21:00:00	100
537	08.09.2022 23:00:00	100,016708
538	09.09.2022 00:00:00	100
539	09.09.2022 15:00:00	99,964354
540	09.09.2022 16:00:00	82,344967
541	09.09.2022 17:00:00	103,093313
542	09.09.2022 18:00:00	101,145891
543	09.09.2022 19:00:00	97,411771
544	09.09.2022 20:00:00	101,200158
545	09.09.2022 21:00:00	96,257068
546	09.09.2022 22:00:00	98,125301
547	09.09.2022 23:00:00	36,935235
548	10.09.2022 00:00:00	74,633487
549	10.09.2022 01:00:00	101,09138
