	Vector time	gfs.168.109.total_middle_cloud.comb
544	12.09.2022 18:00:00	2,168437
545	12.09.2022 19:00:00	4,689236
546	12.09.2022 20:00:00	4,976551
547	12.09.2022 21:00:00	4,91503
548	12.09.2022 22:00:00	6,923616
549	12.09.2022 23:00:00	3,802002
550	13.09.2022 00:00:00	1,184902
551	13.09.2022 01:00:00	1,886896
552	13.09.2022 02:00:00	-0,157698
553	13.09.2022 03:00:00	94,111724
554	13.09.2022 04:00:00	58,873358
555	13.09.2022 05:00:00	26,564795
556	13.09.2022 06:00:00	5,286358
557	13.09.2022 07:00:00	2,021449
558	13.09.2022 08:00:00	0
559	13.09.2022 16:00:00	-0,002073
560	13.09.2022 17:00:00	-0,236167
561	13.09.2022 18:00:00	99,178723
562	13.09.2022 19:00:00	100
563	13.09.2022 20:00:00	99,321576
564	13.09.2022 21:00:00	99,691332
565	13.09.2022 22:00:00	67,211344
566	13.09.2022 23:00:00	56,578935
567	14.09.2022 00:00:00	31,516672
568	14.09.2022 01:00:00	14,943835
569	14.09.2022 02:00:00	84,753005
570	14.09.2022 03:00:00	-6,068803
571	14.09.2022 04:00:00	90,320494
572	14.09.2022 05:00:00	0,783804
573	14.09.2022 06:00:00	-0,00079
574	14.09.2022 07:00:00	45,08169
575	14.09.2022 08:00:00	-0,026106
576	14.09.2022 09:00:00	1,00917
577	14.09.2022 10:00:00	6,00421
578	14.09.2022 11:00:00	71,40544
579	14.09.2022 12:00:00	104,014147
580	14.09.2022 13:00:00	84,287575
581	14.09.2022 14:00:00	71,90046
582	14.09.2022 15:00:00	41,590176
583	14.09.2022 16:00:00	77,48922
584	14.09.2022 17:00:00	100,098474
585	14.09.2022 18:00:00	99,579165
586	14.09.2022 19:00:00	100
587	14.09.2022 22:00:00	100,008295
588	14.09.2022 23:00:00	100
589	15.09.2022 00:00:00	100,235963
590	15.09.2022 01:00:00	73,355142
591	15.09.2022 02:00:00	64,29314
592	15.09.2022 03:00:00	95,491159
593	15.09.2022 04:00:00	68,902008
594	15.09.2022 05:00:00	38,373349
595	15.09.2022 06:00:00	100,172894
596	15.09.2022 07:00:00	101,409714
597	15.09.2022 08:00:00	99,867395
598	15.09.2022 09:00:00	83,894176
599	15.09.2022 10:00:00	68,789154
600	15.09.2022 11:00:00	106,61411
601	15.09.2022 12:00:00	62,510249
602	15.09.2022 13:00:00	3,547697
603	15.09.2022 14:00:00	1,315597
604	15.09.2022 15:00:00	98,44184
605	15.09.2022 16:00:00	101,618093
606	15.09.2022 17:00:00	70,741578
607	15.09.2022 18:00:00	8,1695
608	15.09.2022 19:00:00	47,814689
609	15.09.2022 20:00:00	76,882482
610	15.09.2022 21:00:00	46,544411
611	15.09.2022 22:00:00	77,457994
612	15.09.2022 23:00:00	63,628622
613	16.09.2022 00:00:00	
