	Vector time	gfs.168.114.total_precipitation.comb
293	12.09.2022 17:00:00	-0,015464
294	12.09.2022 18:00:00	-0,008176
295	12.09.2022 19:00:00	0,012864
296	12.09.2022 20:00:00	-0,03928
297	12.09.2022 21:00:00	0,000796
298	12.09.2022 22:00:00	0,062053
299	12.09.2022 23:00:00	0,161371
300	13.09.2022 00:00:00	0,229598
301	13.09.2022 01:00:00	0,291012
302	13.09.2022 02:00:00	-0,025891
303	13.09.2022 03:00:00	0,019737
304	13.09.2022 04:00:00	0,076779
305	13.09.2022 05:00:00	0,164003
306	13.09.2022 06:00:00	0,091631
307	13.09.2022 07:00:00	0,087232
308	13.09.2022 08:00:00	0,100047
309	13.09.2022 09:00:00	0,000034
310	13.09.2022 10:00:00	0,004733
311	13.09.2022 11:00:00	0,18484
312	13.09.2022 12:00:00	0,062812
313	13.09.2022 13:00:00	0,137396
314	13.09.2022 14:00:00	0,355625
315	13.09.2022 15:00:00	0,028597
316	13.09.2022 16:00:00	0,025569
317	13.09.2022 17:00:00	0,029887
318	13.09.2022 18:00:00	0,023005
319	13.09.2022 19:00:00	0,024828
320	13.09.2022 21:00:00	0
321	14.09.2022 16:00:00	-0,005031
322	14.09.2022 17:00:00	-0,015236
323	14.09.2022 18:00:00	1,05404
324	14.09.2022 19:00:00	0,386068
325	14.09.2022 20:00:00	5,844784
326	14.09.2022 21:00:00	1,723452
327	14.09.2022 22:00:00	5,08482
328	14.09.2022 23:00:00	5,908084
329	15.09.2022 00:00:00	5,015573
330	15.09.2022 01:00:00	4,607682
331	15.09.2022 02:00:00	4,475919
332	15.09.2022 03:00:00	0
333	15.09.2022 05:00:00	0,000197
334	15.09.2022 06:00:00	0,532466
335	15.09.2022 07:00:00	1,660666
336	15.09.2022 08:00:00	1,679542
337	15.09.2022 09:00:00	0,128472
338	15.09.2022 10:00:00	0,216329
339	15.09.2022 11:00:00	0,174195
340	15.09.2022 12:00:00	0,889953
341	15.09.2022 13:00:00	1,844703
342	15.09.2022 14:00:00	1,66636
343	15.09.2022 15:00:00	0,094056
344	15.09.2022 16:00:00	0,473974
345	15.09.2022 17:00:00	0,853803
346	15.09.2022 18:00:00	1,62617
347	15.09.2022 19:00:00	2,027079
348	15.09.2022 20:00:00	6,305549
349	15.09.2022 21:00:00	0,490123
350	15.09.2022 22:00:00	1,285152
351	15.09.2022 23:00:00	2,41074
352	16.09.2022 00:00:00	
